analysis,term,estimate,robust_se,ci_low,ci_high,p_value,exp_estimate,exp_ci_low,exp_ci_high,n_observations,n_clusters
Explanation length: Feature Type x Model,Intercept,3.1826023331049362,0.05235429926162231,3.0799897921163244,3.285214874093548,0.0,24.10941270953782,21.75818029009007,26.714724000313797,900,60
Explanation length: Feature Type x Model,C(model)[T.meta-llama-3.1-8b-instruct],0.24724953821900084,0.05146552462788024,0.14637896350289642,0.34812011293510525,1.5538859285643527e-06,1.2804986062553334,1.1576348062766586,1.4164023677688138,900,60
Explanation length: Feature Type x Model,C(model)[T.openai-gpt-oss-120b],-0.45438978293016913,0.055909132117087486,-0.5639696682865523,-0.34480989757378605,4.389908426631529e-16,0.6348352370752885,0.5689460480259015,0.7083550006732631,900,60
Explanation length: Feature Type x Model,fe_behavioral,-0.11400373588700922,0.07344134714988246,-0.2579461312768822,0.029938659502863743,0.12058807187764274,0.8922546225137287,0.7726368519465623,1.0303913272987115,900,60
Explanation length: Feature Type x Model,fe_behavioral:C(model)[T.meta-llama-3.1-8b-instruct],0.13949670614398116,0.07376621519083351,-0.005082418905883956,0.2840758311938463,0.05861567080857029,1.1496950187819681,0.9949304747322117,1.3285336712274654,900,60
Explanation length: Feature Type x Model,fe_behavioral:C(model)[T.openai-gpt-oss-120b],0.0486575164356449,0.08390853690546922,-0.11580019389452473,0.2131152267658145,0.5619904476553352,1.0498607291167112,0.8906531634600353,1.237527239289854,900,60
