model,feature_type,n,mean,sd,median,q1,q3,minimum,maximum
apertus-70b-instruct-2509,behavioral,150,21.5,6.617801901947716,22.0,16.0,25.0,10,46
apertus-70b-instruct-2509,firmographic,150,24.35333333333333,8.137358266204869,23.0,20.0,29.0,13,46
meta-llama-3.1-8b-instruct,behavioral,150,32.593333333333334,11.899521543969387,29.5,23.0,41.0,17,65
meta-llama-3.1-8b-instruct,firmographic,150,31.286666666666665,10.185090212650108,28.0,23.0,38.75,18,65
openai-gpt-oss-120b,behavioral,150,13.746666666666666,3.489556166210321,14.0,11.25,16.0,6,22
openai-gpt-oss-120b,firmographic,150,14.806666666666667,4.021246704186205,14.0,11.0,17.0,7,24
