analysis,term,estimate_log_odds,posterior_sd,odds_ratio,ci_low,ci_high,z,p_approx
H4a1_overall_score,Intercept,3.655161364843414,0.1320681364684537,38.67376119710272,29.85367110489708,50.099694602892086,27.676330283622196,1.3458105300993115e-168
H4a1_overall_score,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.meta-llama-3.1-8b-instruct]",-3.903007582366357,0.27497531052305246,0.020181123687794726,0.011772850647427745,0.034594658974209935,-14.19402918371884,9.975837530065878e-46
H4a1_overall_score,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.openai-gpt-oss-120b]",0.797658505357314,0.2148427793049725,2.2203359324445793,1.457272674951503,3.382957587582984,3.7127545451505535,0.00020501569682809096
H4a1_overall_score,C(base_profile)[T.B],-3.546281127461121,0.2150015010285025,0.028831661805365102,0.01891719334827077,0.04394228610741219,-16.494215670573364,4.037686100621132e-61
H4a1_overall_score,C(base_profile)[T.C],4.30889000151292,0.5801464558135585,74.35790595221933,23.85044673338211,231.82367355242565,7.427245238394884,1.108826673739153e-13
H4a1_overall_score,C(base_profile)[T.D],3.398407605286605,0.5408904010593125,29.91642334303046,10.363213987882036,86.3624341527594,6.282987456665819,3.321278692442431e-10
H4a1_overall_score,C(base_profile)[T.E],-2.0879252343487735,0.23000658381481107,0.12394402403762396,0.07896598106996416,0.19454100216937983,-9.07767595048435,1.1091782431795783e-19
H4a1_overall_score,C(is_baseline)[T.True],1.0252501675736427,0.45822140424589874,2.7877927886955374,1.1355716894304062,6.843943632128686,2.237455863199824,0.025256560932502736
H4a2_perturbation_sensitivity,Intercept,1.6578407069550298,0.10896408743363505,5.2479667031895225,4.238761364643976,6.497453418234398,15.214560558447694,2.8311409846658057e-52
H4a2_perturbation_sensitivity,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.meta-llama-3.1-8b-instruct]",-2.865288842383982,0.18883422267533223,0.05696667436541136,0.039344309822656034,0.08248211756369656,-15.173567596962286,5.292044032199234e-52
H4a2_perturbation_sensitivity,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.openai-gpt-oss-120b]",0.036127239438178756,0.20097968543808578,1.036787758390436,0.6992178372532618,1.5373304264818375,0.17975567709457974,0.8573443812788988
H4a2_perturbation_sensitivity,"C(condition, Treatment(reference='unfavorable'))[T.favorable]",2.0484829934156457,0.15962923601499532,7.7561260828341245,5.6723851509309755,10.605325663217087,12.832755731683227,1.0747235333017402e-37
H4a2_perturbation_sensitivity,C(feature)[T.demo_requests],-0.9704374022276508,0.2557108390399802,0.3789172625959989,0.22955086346333617,0.6254748500049858,-3.795057753011102,0.00014760909195040266
H4a2_perturbation_sensitivity,C(feature)[T.email_response],-2.1832118414501194,0.20974046615862732,0.11267904160702275,0.07469791079887435,0.1699721756832387,-10.409111228917313,2.2531531758222396e-25
H4a2_perturbation_sensitivity,C(feature)[T.industry],0.6444847081741141,0.29267799207474754,1.9050051427362735,1.073405005218998,3.3808716898159474,2.2020265466681144,0.027663433332071392
H4a2_perturbation_sensitivity,C(feature)[T.region],0.3493191922702451,0.2837645711623226,1.4181017652308232,0.8131339952511334,2.4731626377638816,1.2310176384578435,0.2183162673886888
H4a2_perturbation_sensitivity,C(feature)[T.website_dwell_time],-0.28545505911002333,0.2789870101733055,0.75167212123338,0.43506075148887047,1.2986944372846811,-1.0231840505143945,0.3062208325782957
H4a2_perturbation_sensitivity,C(base_profile)[T.B],-2.964379674078374,0.2088731422121887,0.05159246346311355,0.03426019710766228,0.07769313987972942,-14.192249145497794,1.0232351865526013e-45
H4a2_perturbation_sensitivity,C(base_profile)[T.C],3.518936705611959,0.3973102687550899,33.748524762145756,15.490215690817141,73.52789311360985,8.856898455300442,8.227141397981176e-19
H4a2_perturbation_sensitivity,C(base_profile)[T.D],2.6334570742948,0.3339172018242415,13.921815556277584,7.235354513815573,26.78748470623355,7.886557086331028,3.106374883869461e-15
H4a2_perturbation_sensitivity,C(base_profile)[T.E],-1.6945242918634549,0.19299953092737046,0.1836865894522147,0.1258325313346308,0.26814022404793314,-8.77993994970453,1.635619627581323e-18
H4a2_perturbation_sensitivity,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.meta-llama-3.1-8b-instruct]:C(condition, Treatment(reference='unfavorable'))[T.favorable]",1.2672615787976993,0.23468344300281005,3.551114787350525,2.241806536890591,5.625113507979302,5.399876372115972,6.668683664642456e-08
H4a2_perturbation_sensitivity,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.openai-gpt-oss-120b]:C(condition, Treatment(reference='unfavorable'))[T.favorable]",1.4974361446213769,0.3725535242643136,4.470213384994702,2.153794643830592,9.277954035509042,4.01938526169732,5.835018944430374e-05
H4c1_explanation_alignment,Intercept,0.2749109012180214,0.10448778735462778,1.3164133788135988,1.072631353024165,1.615600904293532,2.6310338095779913,0.00851255669900974
H4c1_explanation_alignment,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.meta-llama-3.1-8b-instruct]",0.21219677680979926,0.18358050923612426,1.23639115424985,0.8627580199119578,1.7718329485517537,1.155878571710836,0.24773082865437457
H4c1_explanation_alignment,"C(model, Treatment(reference='apertus-70b-instruct-2509'))[T.openai-gpt-oss-120b]",-0.9831082026357367,0.17713974960934156,0.37414636695380404,0.2643973716482416,0.5294511932250578,-5.54990172902385,2.8583022019300002e-08
H4c1_explanation_alignment,C(feature)[T.demo_requests],1.9458527429791785,0.24523333596257127,6.9995981690009375,4.328388944316075,11.319309599434074,7.934699152305151,2.110061793498131e-15
H4c1_explanation_alignment,C(feature)[T.email_response],4.914061272973329,0.4725039661044192,136.19140322624847,53.94437911849039,343.8374602846602,10.400042381628104,2.478229464727766e-25
H4c1_explanation_alignment,C(feature)[T.industry],-0.7997695658805398,0.21024837278157024,0.4494325167719901,0.2976442264943928,0.6786276001755751,-3.803927494418379,0.00014241988172588834
H4c1_explanation_alignment,C(feature)[T.region],-5.337409390206489,0.8249382821023976,0.004808311046998446,0.0009545329228680191,0.024221118591929405,-6.470071162904245,9.795677341934049e-11
H4c1_explanation_alignment,C(feature)[T.website_dwell_time],0.8375041790558164,0.2153854609093887,2.3105929480342264,1.5148988569951618,3.5242219286475756,3.8883969954134887,0.00010090847823014387
H4c1_explanation_alignment,C(condition)[T.unfavorable],-0.7559236138986298,0.14660823290495487,0.46957670680680974,0.3522987469565977,0.6258957361625072,-5.156078883978433,2.5217469450891767e-07
H4c1_explanation_alignment,C(base_profile)[T.B],-0.3997329770697921,0.27281259349092235,0.6704990607579631,0.39280355178822174,1.14451355755483,-1.4652291961847903,0.14285839649835289
H4c1_explanation_alignment,C(base_profile)[T.C],-0.895075987380083,0.2583042559162639,0.4085765507995827,0.24626370910775638,0.677870070535806,-3.4652003088568755,0.0005298366850508172
H4c1_explanation_alignment,C(base_profile)[T.D],-0.03105152893570159,0.21545394544299173,0.9694256183186254,0.6355012241957544,1.4788107302889562,-0.14412142173519724,0.8854045892152151
H4c1_explanation_alignment,C(base_profile)[T.E],0.4626491376728201,0.2133150849171388,1.5882759784367884,1.045558896083874,2.4127006074241986,2.168853355366471,0.030093818974981895
