outcome,n_units,n_runs_per_unit,n_fully_stable,fully_stable_rate,n_any_instability,any_instability_rate,mean_modal_share,mean_instability,n_mode_ties,mode_tie_rate,krippendorff_alpha_nominal,alpha_ci_95_low,alpha_ci_95_high,valid_bootstrap_samples
score,195,5,181,0.9282051282051282,14,0.07179487179487179,0.9764102564102565,0.023589743589743587,0,0.0,0.9138934551571221,0.8644002017359611,0.955270288221634,5000
explanation,180,5,153,0.85,27,0.15,0.948888888888889,0.05111111111111111,3,0.016666666666666666,0.860565666523607,0.809248219162899,0.9065559518894912,5000
